,comment
417,"['yarn2635', 'testrm', 'testrmrestart', 'testclienttoamtokens', 'run', 'cs', 'fs', 'wei', 'yan', 'kasha', 'via', 'kashacherry', 'picked', 'commit', '80d11eb68e60f88e16d7d41edecbddfc935a6b10']"
418,"['hdfs2465', 'add', 'hdfs', 'support', 'fadvise', 'readahead', 'dropbehind', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231190625', '13f7953547bb03109956ffa450edef68']"
419,"['yarn2132', 'zkrmstatestorezkactionrunwithretries', 'doesnt', 'log', 'exception', 'encounters', 'vamsee', 'yarlagadda', 'via', 'kashagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21601066', '13f7953547bb03109956ffa450edef68']"
420,"['mapreduce2899', 'replace', 'major', 'parts', 'applicationsubmissioncontext', 'containerlaunchcontext', 'arun', 'murthy', 'via', 'mahadev', 'merging', 'r1170459', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231170460', '13f7953547bb03109956ffa450edef68']"
421,"['yarn2582', 'fixed', 'log', 'cli', 'web', 'ui', 'showing', 'aggregated', 'logs', 'lrs', 'contributed', 'xuan', 'gongcherry', 'picked', 'commit', 'e90718fa5a0e7c18592af61534668acebb9db51b']"
422,"['yarn2111', 'fairschedulerattemptscheduling', 'dont', 'count', 'containers', 'assigned', '0', 'memory', 'nonzero', 'cores', 'sandy', 'ryzagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21605115', '13f7953547bb03109956ffa450edef68']"
423,"['yarn3587', 'fix', 'javadoc', 'delegationtokensecretmanager', 'yarn', 'etc', 'projects', 'contributed', 'gabor', 'liptak', 'cherry', 'picked', 'commit', '7e543c27fa2881aa65967be384a6203bd5b2304f']"
424,"['mapreduce3121', 'nodemanager', 'handle', 'diskfailures', 'ravi', 'gummadi', 'via', 'mahadev', 'merging', 'r1208131', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231208135', '13f7953547bb03109956ffa450edef68']"
425,"['yarn2821', 'fixed', 'problem', 'distributedshell', 'may', 'hang', 'restarted', 'contributed', 'varun', 'vasudev', 'cherry', 'picked', 'commit', '7438966586f1896ab3e8b067d47a4af28a894106']"
426,"['yarn1063', 'augmented', 'hadoop', 'common', 'winutils', 'ability', 'create', 'containers', 'domain', 'users', 'contributed', 'remus', 'rusanu', 'committed', 'yarn', 'patch', 'even', 'though', 'code', 'changes', 'commoncherry', 'picked', 'commit', '5ca97f1e60b8a7848f6eadd15f6c08ed390a8cda']"
427,"['hadoop6987', 'use', 'junit', 'rule', 'optionally', 'fail', 'test', 'cases', 'run', '10', 'secondsgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1005977', '13f7953547bb03109956ffa450edef68']"
428,"['mapreduce3345', 'fixed', 'race', 'condition', 'resourcemanager', 'causing', 'testcontainermanagersecurity', 'fail', 'sometimes', 'contributed', 'hitesh', 'shah', 'svn', 'merge', 'c', 'r1199144', 'ignoreancestry', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231199145', '13f7953547bb03109956ffa450edef68']"
429,"['yarn632', 'changed', 'containermanager', 'api', 'throw', 'ioexception', 'yarnremoteexception', 'contributed', 'xuan', 'gong', 'svn', 'merge', 'ignoreancestry', 'c', '1479740', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21479741', '13f7953547bb03109956ffa450edef68']"
430,"['yarn2830', 'add', 'backwords', 'compatible', 'containeridnewinstance', 'constructor', 'contributed', 'jonathan', 'eaglescherry', 'picked', 'commit', '43cd07b408c6613d2c9aa89203cfa3110d830538']"
431,"['hadoop7057', 'ioutilsreadfully', 'ioutilsskipfully', 'typo', 'exception', 'creations', 'message', 'contributed', 'konstantin', 'boudnikgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1040849', '13f7953547bb03109956ffa450edef68']"
432,"['hadoop6133', 'add', 'caching', 'layer', 'configurationgetclassbyname', 'alleviate', 'performance', 'regression', 'introduced', 'compatibility', 'layer', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk812285', '13f7953547bb03109956ffa450edef68']"
433,"['merge', 'r1503933', 'trunk', 'branch2', 'yarn513', 'create', 'common', 'proxy', 'client', 'communicating', 'rm', 'xuan', 'gong', 'jian', 'via', 'bikasgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21503935', '13f7953547bb03109956ffa450edef68']"
434,"['yarn1757', 'nm', 'recovery', 'auxiliary', 'service', 'support', 'jason', 'lowe', 'via', 'kashagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21585784', '13f7953547bb03109956ffa450edef68']"
435,"['hadoop7223', 'filecontext', 'createflag', 'combinations', 'clearly', 'defined', 'contributed', 'suresh', 'srinivasgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1092565', '13f7953547bb03109956ffa450edef68']"
436,"['merge', 'c', '1529538', 'trunk', 'branch2', 'fix', 'yarn1090', 'fixed', 'cs', 'ui', 'better', 'reflect', 'applications', 'nonschedulable', 'pending', 'contributed', 'jian', 'hegitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21529539', '13f7953547bb03109956ffa450edef68']"
437,"['yarn1424', 'rmappattemptimpl', 'return', 'dummyapplicationresourceusagereport', 'invalid', 'accesses', 'ray', 'chiang', 'via', 'kashagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21601745', '13f7953547bb03109956ffa450edef68']"
438,"['yarn3583', 'support', 'nodelabel', 'object', 'instead', 'plain', 'string', 'yarnclient', 'side', 'sunil', 'g', 'via', 'wangdacherry', 'picked', 'commit', '563eb1ad2ae848a23bbbf32ebfaf107e8fa14e87cherry', 'picked', 'commit', 'b0d22b0c606fad6b4ab5443c0aed07c829b46726']"
439,"['hadoop7341', 'fix', 'options', 'parsing', 'commandformat', 'contributed', 'daryn', 'sharpgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1132505', '13f7953547bb03109956ffa450edef68']"
440,"['yarn1910', 'fixed', 'race', 'condition', 'testamrmtokens', 'causes', 'test', 'fail', 'often', 'windows', 'contributed', 'xuan', 'gong', 'svn', 'merge', 'ignoreancestry', 'c', '1586192', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21586193', '13f7953547bb03109956ffa450edef68']"
441,"['yarn1883', 'testrmadminservice', 'fails', 'due', 'inconsistent', 'entries', 'usergroups', 'mit', 'desai', 'via', 'jeaglesgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21582865', '13f7953547bb03109956ffa450edef68']"
442,"['merge', 'yarn360', 'trunk', 'allow', 'apps', 'concurrently', 'register', 'tokens', 'renewal', 'contributed', 'daryn', 'sharpgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21442442', '13f7953547bb03109956ffa450edef68']"
443,"['yarn1185', 'fixed', 'filesystemrmstatestore', 'leave', 'partial', 'files', 'prevent', 'subsequent', 'resourcemanager', 'recovery', 'contributed', 'omkar', 'vinit', 'joshi', 'svn', 'merge', 'ignoreancestry', 'c', '1533803', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21533805', '13f7953547bb03109956ffa450edef68']"
444,"['yarn3379', 'fixed', 'missing', 'data', 'localitytable', 'resourcerequests', 'table', 'rm', 'webui', 'contributed', 'xuan', 'gong', 'cherry', 'picked', 'commit', '4e886eb9cbd2dcb128bbfd17309c734083093a4c']"
445,"['hadoop7034', 'add', 'testpath', 'tests', 'cover', 'dot', 'dot', 'dot', 'slash', 'normalization', 'contributed', 'eli', 'collinsgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1035142', '13f7953547bb03109956ffa450edef68']"
446,"['hadoop6367', 'removes', 'access', 'token', 'implementation', 'common', 'contributed', 'kan', 'zhanggitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk881509', '13f7953547bb03109956ffa450edef68']"
447,"['yarn539', 'addressed', 'memory', 'leak', 'localresource', 'objects', 'nm', 'resource', 'localization', 'fails', 'contributed', 'omkar', 'vinit', 'joshi', 'svn', 'merge', 'ignoreancestry', 'c', '1466756', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21466757', '13f7953547bb03109956ffa450edef68']"
448,"['yarn3028', 'better', 'syntax', 'replacelabelsonnode', 'rmadmin', 'cli', 'contributed', 'rohith', 'sharmakscherry', 'picked', 'commit', 'fd93e5387b554a78413bc0f14b729e58fea604ea']"
449,"['merge', 'r1580077', 'trunk', 'yarn1849', 'fixed', 'npe', 'resourcetrackerserviceregisternodemanager', 'uam', 'contributed', 'karthik', 'kambatlagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21580078', '13f7953547bb03109956ffa450edef68']"
450,"['mapreduce2766', 'fixed', 'nm', 'set', 'secure', 'permissions', 'files', 'directories', 'distributedcache', 'contributed', 'hitesh', 'shah', 'svn', 'merge', 'c', 'r1195340', 'ignoreancestry', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231195341', '13f7953547bb03109956ffa450edef68']"
451,"['yarn254', 'update', 'fair', 'scheduler', 'web', 'ui', 'hierarchical', 'queues', 'sandyr', 'via', 'tucugitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21423743', '13f7953547bb03109956ffa450edef68']"
452,"['yarn2730', 'defaultcontainerexecutor', 'runs', 'one', 'localizer', 'time', 'contributed', 'siqi', 'li', 'cherry', 'picked', 'commit', '6157ace5475fff8d2513fd3cd99134b532b0b406']"
453,"['yarn2122', 'allocationfileloaderservice', 'reloadthread', 'created', 'init', 'started', 'start', 'robert', 'kanter', 'via', 'kashagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21601046', '13f7953547bb03109956ffa450edef68']"
454,"['hadoop6534', 'trim', 'whitespace', 'directory', 'lists', 'initializing', 'localdirallocator', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk909806', '13f7953547bb03109956ffa450edef68']"
455,"['merge', 'r1606407', 'trunk', 'yarn614', 'changed', 'resourcemanager', 'count', 'disk', 'failure', 'node', 'loss', 'rm', 'restart', 'towards', 'app', 'failures', 'contributed', 'xuan', 'gonggitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21606408', '13f7953547bb03109956ffa450edef68']"
456,"['hadoop6682', 'netutilsnormalizehostname', 'process', 'hostnames', 'starting', 'af', 'correctlygitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk953929', '13f7953547bb03109956ffa450edef68']"
457,"['yarn3094', 'reset', 'timer', 'liveness', 'monitors', 'rm', 'recovery', 'contributed', 'jun', 'gong', 'cherry', 'picked', 'commit', '0af6a99a3fcfa4b47d3bcba5e5cc5fe7b312a152']"
458,"['hadoop6139', 'fix', 'fsshell', 'help', 'messages', 'rm', 'rmr', 'contributed', 'jakob', 'homangitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk793098', '13f7953547bb03109956ffa450edef68']"
459,"['yarn2798', 'fixed', 'yarnclient', 'populate', 'renewer', 'correctly', 'timeline', 'delegation', 'tokens', 'contributed', 'zhijie', 'shencherry', 'picked', 'commit', '71fbb474f531f60c5d908cf724f18f90dfd5fa9f']"
460,"['yarn2269', 'remove', 'external', 'links', 'yarn', 'ui', 'contributed', 'craig', 'welchgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21609591', '13f7953547bb03109956ffa450edef68']"
461,"['yarn2059', 'added', 'admin', 'acls', 'support', 'timeline', 'server', 'contributed', 'zhijie', 'shen', 'svn', 'merge', 'ignoreancestry', 'c', '1597207', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21597208', '13f7953547bb03109956ffa450edef68']"
462,"['hadoop6906', 'filecontext', 'copy', 'utility', 'doesnt', 'work', 'recursive', 'copying', 'directories', 'vinod', 'k', 'v', 'via', 'mahadevgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk987374', '13f7953547bb03109956ffa450edef68']"
463,"['mapreduce2784', 'gridmix', 'bug', 'fixes', 'executionsummarizer', 'resourceusagematcher', 'amarrkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231237579', '13f7953547bb03109956ffa450edef68']"
464,"['hadoop6452', 'hadoop', 'jsp', 'pages', 'dont', 'work', 'security', 'managergitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk893490', '13f7953547bb03109956ffa450edef68']"
465,"['hadoop6951', 'distinct', 'minicluster', 'services', 'eg', 'nn', 'jt', 'overwrite', 'others', 'service', 'policies', 'contributed', 'aaron', 'myersgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1002896', '13f7953547bb03109956ffa450edef68']"
466,"['yarn2819', 'npe', 'ats', 'timeline', 'domains', 'upgrading', '24', '26', 'contributed', 'zhijie', 'shencherry', 'picked', 'commit', '4a114dd67aae83e5bb2d65470166de954acf36a2']"
467,"['yarn596', 'use', 'scheduling', 'policies', 'throughout', 'queue', 'hierarchy', 'decide', 'containers', 'preempt', 'wei', 'yan', 'via', 'sandy', 'ryzagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21598198', '13f7953547bb03109956ffa450edef68']"
468,"['hadoop6932', 'namenode', 'start', 'init', 'fails', 'invalid', 'kerberos', 'key', 'even', 'security', 'set', 'simplegitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk991030', '13f7953547bb03109956ffa450edef68']"
469,"['yarn1497', 'fix', 'comment', 'remove', 'accidental', 'printlngitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21567491', '13f7953547bb03109956ffa450edef68']"
470,"['yarn1635', 'implemented', 'leveldb', 'based', 'applicationtimelinestore', 'contributed', 'billie', 'rinaldi', 'svn', 'merge', 'ignoreancestry', 'c', '1565868', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21565869', '13f7953547bb03109956ffa450edef68']"
471,"['hdfs2154', 'testdfsshell', 'use', 'testrootdir', 'fix', 'deprecated', 'warningsgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1147184', '13f7953547bb03109956ffa450edef68']"
472,"['yarn2705', 'fixed', 'bugs', 'resourcemanager', 'nodelabel', 'manager', 'causing', 'testfailures', 'added', 'dummy', 'inmemory', 'labelsmanager', 'contributed', 'wangda', 'tancherry', 'picked', 'commit', 'e9c66e8fd2ccb658db2848e1ab911f1502de4de5']"
473,"['mapreduce2603', 'disable', 'highram', 'emulation', 'system', 'tests', 'vinay', 'kumar', 'thota', 'via', 'amarrkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1138301', '13f7953547bb03109956ffa450edef68']"
474,"['yarn2608', 'fairscheduler', 'potential', 'deadlocks', 'loading', 'alloc', 'files', 'clock', 'access', 'wei', 'yan', 'via', 'kashacherry', 'picked', 'commit', 'c9811af09a3d3f9f2f1b86fc9d6f2763d3225e44']"
475,"['yarn3108', 'applicationhistoryserver', 'doesnt', 'process', 'arguments', 'chang', 'li', 'via', 'jeaglescherry', 'picked', 'commit', '30a8778c632c0f57cdd005080a470065a60756a8']"
476,"['hdfs7144', 'fix', 'findbugs', 'warnings', 'ramdiskreplicatracker', 'contributed', 'tsz', 'wo', 'nicholas', 'szeconflicts', 'hadoophdfsprojecthadoophdfschangeshdfs6581txt']"
477,"['hadoop7110', 'implement', 'chmod', 'jni', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1063090', '13f7953547bb03109956ffa450edef68']"
478,"['hadoop7187', 'fix', 'socket', 'leak', 'gangliacontext', 'contributed', 'uma', 'maheswara', 'rao', 'ggitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1085122', '13f7953547bb03109956ffa450edef68']"
479,"['yarn2502', 'changed', 'distributedshell', 'support', 'node', 'labels', 'contributed', 'wangda', 'tan', 'cherry', 'picked', 'commit', 'f6b963fdfc517429149165e4bb6fb947be6e3c99']"
480,"['hdfs2414', 'fix', 'testdfsrollback', 'avoid', 'spurious', 'failures', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231180540', '13f7953547bb03109956ffa450edef68']"
481,"['hdfs73', 'dfsoutputstream', 'close', 'sockets', 'contributed', 'uma', 'maheswara', 'rao', 'ggitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1157232', '13f7953547bb03109956ffa450edef68']"
482,"['hadoop7001', 'configuration', 'changes', 'occur', 'via', 'reconfigurable', 'interface', 'patrick', 'kline', 'via', 'dhrubagitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1038480', '13f7953547bb03109956ffa450edef68']"
483,"['mapreduce3238', 'small', 'cleanup', 'schedulerapp', 'todd', 'lipcon', 'via', 'mahadev', 'merging', 'r1206921', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231206924', '13f7953547bb03109956ffa450edef68']"
484,"['yarn1555', 'fixed', 'test', 'failures', 'applicationhistoryservice', 'vinod', 'kumar', 'vavilapalli', 'via', 'mayank', 'svn', 'merge', 'ignoreancestry', 'c', '1556753', 'yarn321gitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21562207', '13f7953547bb03109956ffa450edef68']"
485,"['yarn3457', 'npe', 'nodemanagerserviceinit', 'fails', 'stoprecoverystore', 'called', 'contributed', 'bibin', 'chundattcherry', 'picked', 'commit', 'dd852f5b8c8fe9e52d15987605f36b5b60f02701']"
486,"['yarn1718', 'fix', 'couple', 'isterminals', 'fair', 'scheduler', 'queue', 'placement', 'rules', 'sandy', 'ryzagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21569929', '13f7953547bb03109956ffa450edef68']"
487,"['hadoop6441', 'protect', 'web', 'ui', 'cross', 'site', 'scripting', 'attacks', 'xss', 'host', 'http', 'header', 'using', 'encoded', 'utf7', 'omalleygitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk891132', '13f7953547bb03109956ffa450edef68']"
488,"['hdfs3167', 'clibased', 'driver', 'minidfscluster', 'contributed', 'henry', 'robinsongitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21308160', '13f7953547bb03109956ffa450edef68']"
489,"['mapreduce2187', 'reporter', 'sends', 'progress', 'sortmerge', 'contributed', 'anupam', 'sethgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1152964', '13f7953547bb03109956ffa450edef68']"
490,"['yarn1913', 'fair', 'scheduler', 'cluster', 'logjam', 'resources', 'consumed', 'ams', 'wei', 'yan', 'via', 'sandy', 'ryzagitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21599401', '13f7953547bb03109956ffa450edef68']"
491,"['yarn3361', 'capacityscheduler', 'side', 'changes', 'support', 'nonexclusive', 'node', 'labels', 'contributed', 'wangda', 'tan', 'cherry', 'picked', 'commit', '0fefda645bca935b87b6bb8ca63e6f18340d59f5']"
492,"['svn', 'merge', 'c', '1371390', 'fixes', 'yarn14', 'symlinks', 'peer', 'distributed', 'cache', 'files', 'longer', 'work', 'jason', 'lowe', 'via', 'bobbygitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21371395', '13f7953547bb03109956ffa450edef68']"
493,"['yarn2065', 'cannot', 'create', 'new', 'containers', 'restartgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21607440', '13f7953547bb03109956ffa450edef68']"
494,"['yarn45', 'add', 'protocol', 'schedulers', 'request', 'containers', 'back', 'applicationmasters', 'contributed', 'carlo', 'curino', 'chris', 'douglasgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21479773', '13f7953547bb03109956ffa450edef68']"
495,"['yarn2958', 'made', 'rmstatestore', 'update', 'last', 'sequence', 'number', 'updating', 'delegation', 'token', 'contributed', 'varun', 'saxenacherry', 'picked', 'commit', '562a701945be3a672f9cb5a52cc6db2c1589ba2b']"
496,"['hdfs1330', 'hadoop6889', 'added', 'additional', 'unit', 'tests', 'contributed', 'john', 'georgegitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231163464', '13f7953547bb03109956ffa450edef68']"
497,"['hadoop7657', 'add', 'support', 'lz4', 'compression', 'contributed', 'binglin', 'changgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231220312', '13f7953547bb03109956ffa450edef68']"
498,"['yarn3613', 'testcontainermanagersecurity', 'init', 'start', 'yarn', 'cluster', 'setup', 'instead', 'individual', 'methods', 'nijel', 'via', 'kashacherry', 'picked', 'commit', 'fe0df596271340788095cb43a1944e19ac4c2cf7']"
499,"['yarn1734', 'fixed', 'resourcemanager', 'update', 'configurations', 'transits', 'standby', 'active', 'mode', 'assimilate', 'changes', 'happened', 'standby', 'mode', 'contributed', 'xuan', 'gong', 'svn', 'merge', 'ignoreancestry', 'c', '1571539', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21571540', '13f7953547bb03109956ffa450edef68']"
500,"['merge', 'r1601491', 'trunk', 'yarn2030', 'augmented', 'rmstatestore', 'state', 'machine', 'contributed', 'binglin', 'changgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21601492', '13f7953547bb03109956ffa450edef68']"
501,"['yarn1936', 'added', 'security', 'support', 'timeline', 'client', 'contributed', 'zhijie', 'shen', 'svn', 'merge', 'ignoreancestry', 'c', '1597153', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21597154', '13f7953547bb03109956ffa450edef68']"
502,"['svn', 'merge', 'c', '1420232', 'fixes', 'yarn266', 'rm', 'jhs', 'web', 'uis', 'blank', 'appsblock', 'escaping', 'string', 'properly', 'contributed', 'ravi', 'prakashgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21420233', '13f7953547bb03109956ffa450edef68']"
503,"['hadoop6375', 'sync', 'documentation', 'fsshell', 'du', 'implementation', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk883206', '13f7953547bb03109956ffa450edef68']"
504,"['yarn280', 'rm', 'reject', 'app', 'submission', 'invalid', 'tokens', 'daryn', 'sharp', 'via', 'tgravesgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21425085', '13f7953547bb03109956ffa450edef68']"
505,"['hdfs4733', 'make', 'httpfs', 'username', 'pattern', 'configurable', 'contributed', 'alejandro', 'abdelnurgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21477241', '13f7953547bb03109956ffa450edef68']"
506,"['yarn3181', 'fairscheduler', 'fix', 'outdated', 'findbugs', 'issues', 'kashacherry', 'picked', 'commit', 'c2b185def846f5577a130003a533b9c377b58fab']"
507,"['merge', 'c', '1235858', 'trunk', 'branch023', 'fix', 'mapreduce3683', 'fixed', 'maxcapacity', 'queues', 'product', 'parent', 'maxcapacitiesgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231235860', '13f7953547bb03109956ffa450edef68']"
508,"['yarn578', 'fixed', 'nm', 'use', 'secureioutils', 'reading', 'aggregating', 'logs', 'contributed', 'omkar', 'vinit', 'joshi', 'svn', 'merge', 'ignoreancestry', 'c', '1487672', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21487686', '13f7953547bb03109956ffa450edef68']"
509,"['hdfs1480', 'replicas', 'block', 'end', 'rack', 'datanodes', 'decommissioning', 'contributed', 'todd', 'lipcongitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1160897', '13f7953547bb03109956ffa450edef68']"
510,"['yarn2331', 'distinguish', 'shutdown', 'supervision', 'vs', 'shutdown', 'rolling', 'upgrade', 'contributed', 'jason', 'lowecherry', 'picked', 'commit', '088156de43abb07bec590a3fcd1a5af2feb02cd2']"
511,"['mapreduce3392', 'fixed', 'clusters', 'getdelegationtokens', 'api', 'return', 'null', 'isnt', 'supported', 'token', 'contributed', 'john', 'george', 'svn', 'merge', 'c', 'r1200484', 'ignoreancestry', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch0231200485', '13f7953547bb03109956ffa450edef68']"
512,"['yarn2519', 'credential', 'provider', 'related', 'unit', 'tests', 'failed', 'windows', 'contributed', 'xiaoyu', 'yaocherry', 'picked', 'commit', 'cbea1b10efd871d04c648af18449dc724685db74']"
513,"['yarn295', 'fixed', 'race', 'condition', 'resourcemanager', 'rmappattempt', 'state', 'machine', 'contributed', 'mayank', 'bansal', 'svn', 'merge', 'ignoreancestry', 'c', '1501856', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21501857', '13f7953547bb03109956ffa450edef68']"
514,"['hadoop6583', 'captures', 'authentication', 'authorization', 'metrics', 'contributed', 'devaraj', 'dasgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk915095', '13f7953547bb03109956ffa450edef68']"
515,"['svn', 'merge', 'c', '1379565', 'fixes', 'yarn66', 'aggregated', 'logs', 'permissions', 'set', 'properly', 'tgraves', 'via', 'bobbygitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21379567', '13f7953547bb03109956ffa450edef68']"
516,"['yarn1920', 'fixed', 'testfilesystemapplicationhistorystore', 'failure', 'windows', 'contributed', 'vinod', 'kumar', 'vavilapalli', 'svn', 'merge', 'ignoreancestry', 'c', '1586414', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21586420', '13f7953547bb03109956ffa450edef68']"
517,"['yarn2740', 'fix', 'nodelabelsmanager', 'properly', 'handle', 'node', 'label', 'modifications', 'distributed', 'node', 'label', 'configuration', 'enabled', 'naganarasimha', 'g', 'r', 'via', 'wangdacherry', 'picked', 'commit', 'db1b674b50ddecf2774f4092d677c412722bdcb1']"
518,"['hadoop2398', 'additional', 'instrumentation', 'namenode', 'rpc', 'server', 'add', 'support', 'accessing', 'instrumentation', 'statistics', 'via', 'jmx', 'sanjay', 'radia', 'via', 'dhrubagitsvnid', 'httpssvnapacheorgreposasflucenehadooptrunksrccontribhbase611906', '13f7953547bb03109956ffa450edef68']"
519,"['hadoop6148', 'implement', 'fast', 'pure', 'java', 'crc32', 'calculator', 'outperforms', 'javautilzipcrc32', 'contributed', 'todd', 'lipcon', 'scott', 'careygitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk794944', '13f7953547bb03109956ffa450edef68']"
520,"['yarn2493', 'added', 'nodelabels', 'page', 'rm', 'web', 'ui', 'contributed', 'wangda', 'tan', 'cherry', 'picked', 'commit', 'b7442bf92eb6e1ae64a0f9644ffc2eee4597aad5']"
521,"['yarn1936', 'added', 'security', 'support', 'timeline', 'client', 'contributed', 'zhijie', 'shen', 'svn', 'merge', 'ignoreancestry', 'c', '1597153', 'trunkgitsvnid', 'httpssvnapacheorgreposasfhadoopcommonbranchesbranch21597154', '13f7953547bb03109956ffa450edef68']"
522,"['hadoop7353', 'cleanup', 'fsshell', 'prevent', 'masking', 'rte', 'stack', 'traces', 'contributed', 'daryn', 'sharpgitsvnid', 'httpssvnapacheorgreposasfhadoopcommontrunk1132764', '13f7953547bb03109956ffa450edef68']"
523,"['yarn3100', 'made', 'yarn', 'authorization', 'pluggable', 'contributed', 'jian', 'hecherry', 'picked', 'commit', '23bf6c72071782e3fd5a628e21495d6b974c7a9e']"
